matkul,nim,nilai_angka,user,item,rating
Tugas Akhir,H1051131001,4.0,0,208,1.0
Tugas Akhir,H1051131005,3.5,1,208,0.875
KKM/Kerja Praktek,H1051131007,2.0,2,51,0.5
Tugas Akhir,H1051131007,3.0,2,208,0.75
Tugas Akhir,H1051131009,3.0,3,208,0.75
Tugas Akhir,H1051141003,3.0,4,208,0.75
Tugas Akhir,H1051141005,3.5,5,208,0.875
Tugas Akhir,H1051141008,3.0,6,208,0.75
Tugas Akhir,H1051141012,3.5,7,208,0.875
Tugas Akhir,H1051141022,2.5,8,208,0.625
Tugas Akhir,H1051141023,3.0,9,208,0.75
Tugas Akhir,H1051141030,4.0,10,208,1.0
Tugas Akhir,H1051141033,3.0,11,208,0.75
Tugas Akhir,H1051141034,3.0,12,208,0.75
Tugas Akhir,H1051141040,3.5,13,208,0.875
Tugas Akhir,H1051141041,2.0,14,208,0.5
Tugas Akhir,H1051141046,3.5,15,208,0.875
Tugas Akhir,H1051141048,2.0,16,208,0.5
Tugas Akhir,H1051141054,3.5,17,208,0.875
Tugas Akhir,H1051141060,3.5,18,208,0.875
Tugas Akhir,H1051151013,4.0,19,208,1.0
KKM/Kerja Praktek,H1051151018,0.0,20,51,0.0
Pemrosesan Pararel,H1051151018,1.0,20,123,0.25
Persamaan Diferensial,H1051151018,3.0,20,145,0.75
Robotika,H1051151018,0.0,20,169,0.0
Tugas Akhir,H1051151043,3.5,21,208,0.875
Tugas Akhir,H1051161003,3.0,22,208,0.75
Sistem Operasi,H1051161015,4.0,23,189,1.0
Tugas Akhir,H1051161015,3.0,23,208,0.75
Pengantar Jaringan Komputer,H1051161020,4.0,24,125,1.0
Perancangan Web,H1051161020,3.5,24,140,0.875
Teknik dan Sistem Digital,H1051161020,3.5,24,205,0.875
Tugas Akhir,H1051161020,3.0,24,208,0.75
Tugas Akhir,H1051161024,4.0,25,208,1.0
Tugas Akhir,H1051161036,3.0,26,208,0.75
Tugas Akhir,H1051161042,3.0,27,208,0.75
Tugas Akhir,H1051161047,4.0,28,208,1.0
Elektronika,H1051161048,0.0,29,34,0.0
Pemodelan dan Simulasi,H1051161048,4.0,29,111,1.0
Rekayasa Perangkat Lunak,H1051161048,1.0,29,166,0.25
Sistem Manajemen Basis Data,H1051161048,2.5,29,187,0.625
Sistem Operasi,H1051161048,2.0,29,189,0.5
Teknik Penulisan & Seminar Ilmiah,H1051161048,2.5,29,204,0.625
Teknik dan Sistem Digital,H1051161048,3.0,29,205,0.75
Pemodelan dan Simulasi,H1051161052,4.0,30,111,1.0
Pemrograman Multimedia & Animasi,H1051161052,0.0,30,117,0.0
Sistem Informasi Geografis,H1051161052,2.0,30,182,0.5
Sistem Manajemen Basis Data,H1051161052,0.0,30,187,0.0
Sistem Pendukung Keputusan,H1051161052,3.5,30,191,0.875
Interaksi Manusia dan Komputer,H1051161054,3.5,31,45,0.875
Persamaan Diferensial,H1051161054,4.0,31,145,1.0
Teknik dan Sistem Digital,H1051161054,3.5,31,205,0.875
Tugas Akhir,H1051171005,2.0,32,208,0.5
Sistem Manajemen Basis Data,H1051171006,3.5,33,187,0.875
Interaksi Manusia dan Komputer,H1051171015,3.5,34,45,0.875
Kalkulus Lanjut,H1051171015,2.0,34,53,0.5
Kriptografi,H1051171015,4.0,34,72,1.0
Metode Numerik,H1051171015,2.0,34,99,0.5
Rekayasa Perangkat Lunak,H1051171015,0.0,34,166,0.0
Robotika,H1051171015,0.0,34,169,0.0
Sistem Manajemen Basis Data,H1051171015,0.0,34,187,0.0
Sistem Mikroprosesor,H1051171015,1.5,34,188,0.375
Sistem Operasi,H1051171015,4.0,34,189,1.0
Interaksi Manusia dan Komputer,H1051171018,3.5,35,45,0.875
Pemrograman Multimedia & Animasi,H1051171018,4.0,35,117,1.0
Tugas Akhir,H1051171019,4.0,36,208,1.0
Interaksi Manusia dan Komputer,H1051171020,3.5,37,45,0.875
Komunikasi Data,H1051171020,4.0,37,69,1.0
Logika Samar,H1051171020,3.5,37,78,0.875
Pengolahan Sinyal Digital,H1051171020,4.0,37,135,1.0
Rekayasa Perangkat Lunak,H1051171020,1.0,37,166,0.25
Robotika,H1051171020,0.0,37,169,0.0
Sistem Informasi Bergerak,H1051171020,4.0,37,181,1.0
Sistem Waktu Nyata,H1051171020,4.0,37,193,1.0
Teknik Penulisan & Seminar Ilmiah,H1051171020,2.0,37,204,0.5
Tranduser dan Sensor,H1051171020,0.0,37,207,0.0
Tugas Akhir,H1051171020,3.0,37,208,0.75
Tugas Akhir,H1051171022,4.0,38,208,1.0
Digital Forensik,H1051171027,2.0,39,31,0.5
Metode Numerik,H1051171027,2.0,39,99,0.5
Pemrograman Multimedia & Animasi,H1051171027,0.0,39,117,0.0
Pengantar Jaringan Komputer,H1051171027,0.0,39,125,0.0
Robotika,H1051171027,0.0,39,169,0.0
Sistem Informasi Bergerak,H1051171027,4.0,39,181,1.0
Sistem Informasi Geografis,H1051171027,0.0,39,182,0.0
Komputer dan Masyarakat,H1051171040,0.0,40,68,0.0
Logika Samar,H1051171048,3.5,41,78,0.875
Sistem Mikroprosesor,H1051171048,4.0,41,188,1.0
Sistem Operasi,H1051171048,3.5,41,189,0.875
Sistem Pendukung Keputusan,H1051171048,4.0,41,191,1.0
Dasar Pemrograman,H1051171051,3.5,42,25,0.875
Elektronika,H1051171051,2.0,42,34,0.5
Interaksi Manusia dan Komputer,H1051171051,3.5,42,45,0.875
Logika Samar,H1051171051,3.5,42,78,0.875
Pengantar Jaringan Komputer,H1051171051,4.0,42,125,1.0
Sistem Operasi,H1051171051,3.0,42,189,0.75
Teknik dan Sistem Digital,H1051171051,3.0,42,205,0.75
Tranduser dan Sensor,H1051171051,3.5,42,207,0.875
Tugas Akhir,H1051171051,4.0,42,208,1.0
Interaksi Manusia dan Komputer,H1051171052,4.0,43,45,1.0
Logika Samar,H1051171052,4.0,43,78,1.0
